school,fromCity,sex,age,famMore3,liveTogether,Medu,Fedu,noParent,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,1,0,18,1,0,4,4,0,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,-1.9372942355381673,-1.7050344287441823,-1.7137268375966712
0,1,0,17,1,1,1,1,0,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,-1.9372942355381673,-2.023224335206113,-1.7137268375966712
0,1,0,15,0,1,1,1,0,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,-1.3192298547632562,-1.0686546158203214,-0.47275223106115066
0,1,0,15,1,1,4,2,0,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,1.1530276683363887,0.8404848229512616,1.07846602710825
0,1,0,16,1,1,3,3,0,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,-1.6282620451507117,-0.43227480289646036,-0.47275223106115066
0,1,1,16,0,1,4,3,0,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,1.1530276683363887,1.158674729413192,1.07846602710825
0,1,1,16,0,1,2,2,0,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,0.2259310971740219,0.20410501002740064,-0.16250857942727054
0,1,0,17,1,0,4,4,0,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,-1.6282620451507117,-2.023224335206113,-1.7137268375966712
0,1,1,15,0,0,3,2,0,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,1.4620598587238443,2.1132444487989837,2.3194406336437705
0,1,1,15,1,1,3,4,0,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,0.843995477948933,1.158674729413192,1.07846602710825
0,1,0,15,1,1,4,4,0,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,-0.3921332836008893,-1.0686546158203214,-0.7829958826950308
0,1,0,15,1,1,2,1,0,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,-0.3921332836008893,0.20410501002740064,0.1477350722066096
0,1,1,15,0,1,4,4,0,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,0.843995477948933,0.8404848229512616,0.7682223754743699
0,1,1,15,1,1,4,3,0,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,-0.3921332836008893,-0.43227480289646036,-0.16250857942727054
0,1,1,15,1,0,2,2,1,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,0.843995477948933,1.4768646358751225,1.3887096787421302
0,1,0,16,1,1,4,4,0,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,0.843995477948933,0.8404848229512616,0.7682223754743699
0,1,0,16,1,1,4,4,0,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,0.5349632875614775,0.8404848229512616,0.7682223754743699
0,1,0,16,1,1,3,3,0,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,-1.0101976643758004,-0.43227480289646036,-0.47275223106115066
0,1,1,17,1,1,3,2,0,1,1,3,0,1,0,1,1,1,1,0,5,5,5,2,4,5,16,-1.6282620451507117,-2.023224335206113,-2.0239704892305515
0,1,1,16,0,1,4,3,0,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,-1.0101976643758004,-0.43227480289646036,-0.47275223106115066
0,1,1,15,1,1,4,3,0,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,0.5349632875614775,0.8404848229512616,1.07846602710825
0,1,1,15,1,1,4,4,0,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,0.2259310971740219,1.158674729413192,1.07846602710825
0,1,1,16,0,1,4,2,0,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,1.1530276683363887,1.158674729413192,1.3887096787421302
0,1,1,16,0,1,2,2,0,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,0.5349632875614775,0.5222949164893311,0.1477350722066096
0,0,0,15,1,1,2,4,0,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,-0.3921332836008893,-0.7504647093583908,-1.093239534328911
0,1,0,16,1,1,2,2,0,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,-1.6282620451507117,-0.7504647093583908,-1.093239534328911
0,1,1,15,1,1,2,2,0,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,0.2259310971740219,0.20410501002740064,-0.16250857942727054
0,1,1,15,1,1,4,2,0,1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4,1.1530276683363887,1.4768646358751225,1.07846602710825
0,1,1,16,0,0,3,4,0,1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4,-0.08310109321343369,-0.11408489643452986,-0.16250857942727054
0,1,1,16,1,1,4,4,0,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16,-0.3921332836008893,0.20410501002740064,-0.16250857942727054
0,1,1,15,1,1,4,4,0,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,-0.7011654739883448,-0.11408489643452986,0.1477350722066096
0,1,1,15,1,1,4,4,0,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0,1.7710920491112998,1.4768646358751225,1.6989533303760105
0,0,1,15,1,1,4,3,0,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,1.7710920491112998,1.4768646358751225,1.3887096787421302
0,1,1,15,0,1,3,3,0,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,-1.0101976643758004,-0.43227480289646036,0.1477350722066096
0,1,1,16,1,1,3,2,0,1,1,0,0,1,1,0,0,1,1,0,5,4,3,1,1,5,0,0.2259310971740219,0.8404848229512616,1.07846602710825
0,1,0,15,1,1,2,3,0,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0,-1.0101976643758004,-1.3868445222822519,-1.7137268375966712
0,1,1,15,0,1,4,3,0,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,2,1.1530276683363887,1.4768646358751225,2.0091969820098905
0,0,1,16,1,0,4,4,0,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,7,1.1530276683363887,1.4768646358751225,1.07846602710825
0,0,0,15,1,1,3,4,0,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,0.2259310971740219,0.20410501002740064,-0.16250857942727054
0,0,0,15,1,1,2,2,0,1,1,0,1,1,1,1,1,1,0,0,4,3,1,1,1,2,8,0.843995477948933,0.5222949164893311,0.45797872384048977
0,1,0,16,0,1,2,2,0,2,2,1,0,1,0,1,0,1,1,1,3,3,3,1,2,3,25,-1.3192298547632562,-0.43227480289646036,-0.16250857942727054
0,1,1,15,0,1,4,4,1,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,0.2259310971740219,0.20410501002740064,0.1477350722066096
0,1,1,15,1,1,4,4,0,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,2,2.389156429886211,2.1132444487989837,2.0091969820098905
0,1,1,15,1,1,2,2,0,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,-1.0101976643758004,-1.0686546158203214,-0.16250857942727054
0,1,0,16,0,1,2,2,0,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,-0.3921332836008893,-0.43227480289646036,-0.7829958826950308
0,1,0,15,0,0,4,3,0,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,8,-1.0101976643758004,-1.0686546158203214,-1.7137268375966712
0,1,0,16,0,0,3,3,0,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,12,-0.08310109321343369,0.20410501002740064,-0.16250857942727054
0,1,1,16,1,1,4,3,0,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4,2.389156429886211,2.431434355260914,2.629684285277651
0,1,1,15,1,1,4,2,0,1,2,0,0,1,1,0,1,1,0,0,4,3,3,2,2,5,2,1.1530276683363887,1.158674729413192,0.7682223754743699
0,1,0,15,1,1,4,4,0,1,2,1,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,-1.3192298547632562,-1.3868445222822519,-1.4034831859627912
0,1,0,16,0,1,2,2,0,3,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,4,2,0.2259310971740219,0.5222949164893311,0.45797872384048977
0,1,0,15,0,1,4,2,0,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2,-0.08310109321343369,0.5222949164893311,0.45797872384048977
0,1,1,15,0,0,4,2,0,2,1,1,0,0,0,0,1,1,0,0,5,5,5,3,4,5,6,-0.08310109321343369,-0.11408489643452986,-0.47275223106115066
0,1,0,15,1,1,4,4,0,1,1,0,1,1,1,0,1,1,1,0,3,3,4,2,3,5,0,-1.0101976643758004,-0.43227480289646036,-0.16250857942727054
0,1,0,15,0,0,3,3,0,1,1,0,0,0,1,0,1,1,1,0,5,3,4,4,4,1,6,-0.3921332836008893,0.5222949164893311,0.45797872384048977
0,1,0,16,1,0,2,1,0,1,2,0,0,0,1,1,1,1,1,1,5,3,4,1,1,2,8,-1.0101976643758004,-0.7504647093583908,-0.47275223106115066
0,1,0,15,1,0,4,3,0,1,2,0,0,1,1,1,1,1,1,0,4,3,2,1,1,1,0,0.843995477948933,1.158674729413192,1.07846602710825
0,1,1,15,1,1,4,4,0,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,4,0.843995477948933,1.158674729413192,1.07846602710825
0,1,1,15,0,1,1,2,0,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,-0.7011654739883448,-0.43227480289646036,-0.7829958826950308
0,1,0,16,1,1,4,2,0,1,2,0,0,1,0,0,1,1,1,0,4,2,3,1,1,5,2,1.1530276683363887,1.4768646358751225,1.3887096787421302
0,0,0,16,1,1,4,4,0,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,6,-0.3921332836008893,-0.11408489643452986,-0.16250857942727054
0,1,0,16,1,1,1,1,0,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6,-0.3921332836008893,-1.0686546158203214,-0.16250857942727054
0,1,0,16,0,1,1,2,0,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,4,-1.0101976643758004,-0.43227480289646036,-0.7829958826950308
0,1,0,16,1,1,4,3,0,1,3,0,1,1,1,1,1,1,1,0,3,4,4,2,4,4,2,-0.3921332836008893,-0.7504647093583908,-0.7829958826950308
0,1,0,15,0,1,4,3,0,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,-0.3921332836008893,-0.43227480289646036,-0.47275223106115066
0,1,0,16,0,1,4,3,0,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,1.4620598587238443,1.158674729413192,1.07846602710825
0,1,1,15,1,0,4,4,0,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,4,0.5349632875614775,0.5222949164893311,0.1477350722066096
0,1,0,16,1,1,3,1,0,1,4,0,1,1,1,0,1,1,1,0,4,3,3,1,2,5,4,-1.3192298547632562,-1.3868445222822519,-1.7137268375966712
0,0,0,15,0,1,2,2,0,2,2,0,1,1,1,0,1,1,1,0,4,1,3,1,3,4,2,-1.0101976643758004,-0.7504647093583908,-1.093239534328911
0,0,0,15,0,1,3,1,0,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,12,1.4620598587238443,1.4768646358751225,1.3887096787421302
0,1,1,16,1,1,3,1,0,2,4,0,0,1,1,0,1,1,1,0,4,3,2,1,1,5,0,0.5349632875614775,1.158674729413192,1.07846602710825
0,1,1,15,1,1,4,2,0,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,-0.3921332836008893,-0.43227480289646036,-0.47275223106115066
0,0,0,15,1,1,1,1,0,1,2,2,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,-1.0101976643758004,-1.7050344287441823,-2.0239704892305515
0,1,1,16,1,1,3,1,0,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,2,0.2259310971740219,0.20410501002740064,0.7682223754743699
